CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE
,,+,BELGRADE,GALLATIN,DECEMBER,2022,FRI,,,0.0,0.0
,,+,BELGRADE,GALLATIN,DECEMBER,2022,MON,,,0.0,0.0
,,+,BELGRADE,GALLATIN,DECEMBER,2022,MON,,,0.0,0.0
,,+,BELGRADE,GALLATIN,DECEMBER,2022,WED,,,0.0,0.0
,,+,BELGRADE,GALLATIN,DECEMBER,2022,MON,,,0.0,0.0
,,+,BELGRADE,GALLATIN,DECEMBER,2022,SAT,,,0.0,0.0
,,+,BELGRADE,GALLATIN,DECEMBER,2022,SAT,,,0.0,0.0
,,+,BELGRADE,GALLATIN,DECEMBER,2022,THU,,,0.0,0.0
,,+,BELGRADE,GALLATIN,FEBRUARY,2022,SUN,,,0.0,0.0
,,+,BELGRADE,GALLATIN,NOVEMBER,2022,TUE,,,0.0,0.0
,,+,BELGRADE,GALLATIN,NOVEMBER,2022,TUE,,,0.0,0.0
,,+,BELGRADE,,DECEMBER,2020,TUE,,,0.0,0.0
,,+,BELGRADE,,DECEMBER,2020,FRI,,,0.0,0.0
,,+,BELGRADE,,DECEMBER,2020,MON,,,0.0,0.0
,,+,BELGRADE,,DECEMBER,2023,TUE,,,0.0,0.0
,,+,BELGRADE,,NOVEMBER,2020,SUN,,,0.0,0.0
,,+,BELGRADE,,NOVEMBER,2020,THU,,,0.0,0.0
,,+,BELGRADE,,NOVEMBER,2020,WED,,,0.0,0.0
,,+,BELGRADE,,NOVEMBER,2020,SAT,,,0.0,0.0
,,+,BELGRADE,,OCTOBER,2020,SUN,,,0.0,0.0
,,+,BELGRADE,,OCTOBER,2020,MON,,,0.0,0.0
,,+,BELGRADE,,OCTOBER,2020,SUN,,,0.0,0.0
,,+,BELGRADE,,OCTOBER,2020,WED,,,0.0,0.0
,,+,BELGRADE,,OCTOBER,2020,FRI,,,0.0,0.0
,,+,BELGRADE,,OCTOBER,2020,MON,,,0.0,0.0
,,+,BELGRADE,,OCTOBER,2020,THU,,,0.0,0.0
,,+,BELGRADE,,OCTOBER,2020,THU,,,0.0,0.0
,,+,BILLINGS,YELLOWSTONE,JANUARY,2023,SUN,,,0.0,0.0
,,+,BILLINGS,,FEBRUARY,2021,MON,,,0.0,0.0
,,+,FORSYTH,,MARCH,2021,SAT,,,0.0,0.0
,,+,GREAT FALLS,CASCADE,APRIL,2023,WED,,,0.0,0.0
,,+,GREAT FALLS,CASCADE,MARCH,2023,SAT,,,0.0,0.0
,,+,GREAT FALLS,CASCADE,MARCH,2023,THU,,,0.0,0.0
,,+,GREAT FALLS,CASCADE,MAY,2023,MON,,,0.0,0.0
,,+,GREAT FALLS,CASCADE,OCTOBER,2022,SAT,,,0.0,0.0
,,+,GREAT FALLS,CASCADE,OCTOBER,2022,SAT,,,0.0,0.0
,,+,GREAT FALLS,,APRIL,2021,SUN,,,0.0,0.0
,,+,GREAT FALLS,,AUGUST,2021,MON,,,0.0,0.0
,,+,GREAT FALLS,,AUGUST,2021,TUE,,,0.0,0.0
,,+,GREAT FALLS,,DECEMBER,2021,FRI,,,0.0,0.0
,,+,GREAT FALLS,,FEBRUARY,2021,SUN,,,0.0,0.0
,,+,GREAT FALLS,,JULY,2021,TUE,,,0.0,0.0
,,+,GREAT FALLS,,JUNE,2021,WED,,,0.0,0.0
,,+,GREAT FALLS,,MARCH,2021,TUE,,,0.0,0.0
,,+,GREAT FALLS,,MARCH,2021,WED,,,0.0,0.0
,,+,KALISPELL,FLATHEAD,JULY,2022,FRI,,,0.0,0.0
,,+,KALISPELL,FLATHEAD,OCTOBER,2022,THU,,,0.0,0.0
,,+,KALISPELL,,DECEMBER,2020,WED,,,0.0,0.0
,,+,MISSOULA,,AUGUST,2021,FRI,,,0.0,0.0
,,+,MISSOULA,,OCTOBER,2021,SUN,,,0.0,0.0
,,+,MISSOULA,,SEPTEMBER,2021,TUE,,,0.0,0.0
,,+,MISSOULA,,SEPTEMBER,2021,SUN,,,0.0,0.0
,,+,PHILIPSBURG,GRANITE,DECEMBER,2022,MON,,5222744.49512,46.33209,0.0
,,+,WHITEFISH,FLATHEAD,OCTOBER,2023,FRI,,,0.0,0.0
