CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,site_id_sort_key
C000011A,34-3-010,000+0.000,000+0.609,N-11,6,0.609,4604.25,2803.98825,,PARK,SECOND ST,US-89,NI-NHS,1.2,3836.875,2336.656875,"['', 34, '-', 3, '-', 10, '']"
C000011A,34-3-009,000+0.609,002+0.871,N-11,11,2.379,3881.0,9232.899,,PARK,SECOND ST,US-89,NI-NHS,2.2,1764.090909090909,4196.772272727272,"['', 34, '-', 3, '-', 9, '']"
C000011A,34-3-001,002+0.871,016+0.619,N-11,108,13.615,2718.2,37008.293,,PARK,SECOND ST,US-89,NI-NHS,21.6,125.84259259259258,1713.3468981481478,"['', 34, '-', 3, '-', 1, '']"
C000011A,A-020,016+0.619,019+0.910,N-11,22,3.283,2068.5,6790.885499999999,,PARK,SECOND ST,US-89,NI-NHS,4.4,470.1136363636363,1543.383068181818,"['A-', 20, '']"
C000011A,A-020,019+0.910,030+0.982,N-11,88,11.029,2068.5,22813.4865,,PARK,SECOND ST,US-89,NI-NHS,17.6,117.52840909090908,1296.2208238636365,"['A-', 20, '']"
C000011A,34-3-003,030+0.982,043+0.358,N-11,84,12.315,2855.25,35162.40375,,PARK,SECOND ST,US-89,NI-NHS,16.8,169.95535714285714,2093.0002232142856,"['', 34, '-', 3, '-', 3, '']"
C000011A,34-2-002,043+0.358,049+0.840,N-11,56,6.438,3785.25,24369.4395,,PARK,SECOND ST,US-89,NI-NHS,11.2,337.96875,2175.8428125,"['', 34, '-', 2, '-', 2, '']"
C000011A,34-2A-005,049+0.840,052+0.269,N-11,45,2.453,5234.5,12840.2285,,PARK,SECOND ST,US-89,NI-NHS,9.0,581.6111111111111,1426.6920555555555,"['', 34, '-', 2, 'A-', 5, '']"
C000011A,34-2A-006,052+0.269,052+0.746,N-11,7,0.477,9861.6,4703.9832,,PARK,SECOND ST,US-89,NI-NHS,1.4,7044.000000000001,3359.988,"['', 34, '-', 2, 'A-', 6, '']"
C000011A,34-2A-063,052+0.746,052+0.982,N-11,2,0.236,16338.25,3855.827,,PARK,SECOND ST,US-89,NI-NHS,0.4,40845.625,9639.5675,"['', 34, '-', 2, 'A-', 63, '']"
C000011A,34-2A-063,052+0.982,053+0.155,N-11,4,0.177,17239.666666666668,3051.4210000000003,,PARK,SECOND ST,US-89,NI-NHS,0.8,21549.583333333332,3814.27625,"['', 34, '-', 2, 'A-', 63, '']"
C000011A,34-2A-064,053+0.155,053+0.221,N-11,1,0.066,13605.666666666666,897.974,,PARK,SECOND ST,US-89,NI-NHS,0.2,68028.33333333333,4489.87,"['', 34, '-', 2, 'A-', 64, '']"
C000011A,34-2A-064,053+0.221,053+0.385,N-11,2,0.164,13149.0,2156.436,,PARK,SECOND ST,US-89,NI-NHS,0.4,32872.5,5391.09,"['', 34, '-', 2, 'A-', 64, '']"
C000011A,34-2A-007,053+0.385,053+0.495,N-11,0,0.11,12295.75,1352.5325,,PARK,SECOND ST,US-89,NI-NHS,0.0,,,"['', 34, '-', 2, 'A-', 7, '']"
C000011A,34-2A-007,053+0.495,053+0.631,N-11,1,0.136,12295.75,1672.2220000000002,,PARK,SECOND ST,US-89,NI-NHS,0.2,61478.75,8361.11,"['', 34, '-', 2, 'A-', 7, '']"
C000011A,34-2A-007,053+0.631,053+0.709,N-11,1,0.078,12295.75,959.0685,,PARK,SECOND ST,US-89,NI-NHS,0.2,61478.75,4795.3425,"['', 34, '-', 2, 'A-', 7, '']"
C000011A,34-2A-008,053+0.709,054+0.069,N-11,3,0.371,11796.0,4376.316,,PARK,SECOND ST,US-89,NI-NHS,0.6,19660.0,7293.86,"['', 34, '-', 2, 'A-', 8, '']"
C000011A,34-2A-008,054+0.069,054+0.139,N-11,1,0.07,11796.0,825.72,,PARK,SECOND ST,US-89,NI-NHS,0.2,58980.0,4128.599999999999,"['', 34, '-', 2, 'A-', 8, '']"
C000011A,34-2A-009,054+0.139,054+0.211,N-11,1,0.072,14232.0,1024.704,,PARK,SECOND ST,US-89,NI-NHS,0.2,71160.0,5123.5199999999995,"['', 34, '-', 2, 'A-', 9, '']"
C000011A,34-2A-010,054+0.211,054+0.491,N-11,3,0.28,10674.25,2988.7900000000004,,PARK,SECOND ST,US-89,NI-NHS,0.6,17790.416666666668,4981.3166666666675,"['', 34, '-', 2, 'A-', 10, '']"
C000011A,34-2A-011,054+0.491,054+0.562,N-11,1,0.071,10115.75,718.2182499999999,,PARK,SECOND ST,US-89,NI-NHS,0.2,50578.75,3591.0912499999995,"['', 34, '-', 2, 'A-', 11, '']"
C000011A,34-2A-011,054+0.562,054+0.978,N-11,5,0.416,10115.75,4208.152,,PARK,SECOND ST,US-89,NI-NHS,1.0,10115.75,4208.152,"['', 34, '-', 2, 'A-', 11, '']"
C000011A,34-2A-013,054+0.978,055+0.732,N-11,2,0.796,7572.5,6027.71,,PARK,SECOND ST,US-89,NI-NHS,0.4,18931.25,15069.275,"['', 34, '-', 2, 'A-', 13, '']"
C000011A,34-2A-014,055+0.732,056+0.801,N-11,3,1.104,5088.0,5617.152,,PARK,SECOND ST,US-89,NI-NHS,0.6,8480.0,9361.92,"['', 34, '-', 2, 'A-', 14, '']"
C000011A,34-2A-015,056+0.801,057+0.779,N-11,9,0.897,2777.5,2491.4175,,PARK,SECOND ST,US-89,NI-NHS,1.8,1543.0555555555554,1384.1208333333334,"['', 34, '-', 2, 'A-', 15, '']"
C000011A,34-2A-015,057+0.779,057+1.146,N-11,3,0.367,2753.3333333333335,1010.4733333333334,,PARK,SECOND ST,US-89,NI-NHS,0.6,4588.88888888889,1684.1222222222225,"['', 34, '-', 2, 'A-', 15, '']"
