YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,N-99,A,9.671,C000099,A,C000099A,038+0.194,047+0.872,38.024,47.696,36-1-003,nan,nan,E,88.5,1.0,nan,0.0,6.0,3.0,10.0,nan,0.0,61.0,30.0,RPA_45,3085.0,10.0,351.0,2.0,2.0,3.0,3.0,nan,2.0,nan,PHILLIPS,nan,nan,23.077,15.385,C000099_038+0.194_047+0.872_N-99,38.194,47.872,,US-191,NI-NHS,4,1,PHILLIPS,1.0,855.8834999999999,0.2,442.5,4279.4175,,US-191
2023.0,N-99,A,3.23,C000099,A,C000099A,034+0.959,038+0.194,34.795,38.024,36-1-002,nan,nan,E,121.75,1.0,nan,0.0,6.0,3.0,7.0,nan,0.0,44.0,22.0,RPA_45,3085.0,10.0,351.0,2.0,2.0,3.0,3.0,nan,2.0,nan,PHILLIPS,nan,nan,5.0,0.0,C000099_034+0.959_038+0.194_N-99,34.959,38.194,,US-191,NI-NHS,4,0,PHILLIPS,,393.2525,0.0,None,None,,US-191
2023.0,N-99,A,11.427,C000099,A,C000099A,023+0.493,034+0.959,23.368,34.795,36-1-001,nan,nan,A,100.0,1.0,nan,0.0,6.0,3.0,10.0,nan,0.0,63.0,31.0,RPA_45,3085.0,10.0,351.0,2.0,2.0,3.0,3.0,nan,2.0,nan,PHILLIPS,JCT S-208,JCT S-208,23.077,15.385,C000099_023+0.493_034+0.959_N-99,23.493,34.959,,US-191,NI-NHS,4,2,PHILLIPS,2.0,1142.7,0.4,250.0,2856.75,,US-191
2023.0,N-99,A,0.86,C000099,A,C000099A,000+0.000,000+0.860,0.0,0.86,36-3-019,nan,nan,A,715.0,3.0,nan,1.0,9.0,4.0,4.0,nan,1.0,13.0,6.0,RPA_45,3084.0,10.0,128.0,4.0,4.0,5.0,5.0,nan,2.0,nan,PHILLIPS,JCT N-1 W OF MALTA,ENT N-99A/,3.448,3.448,C000099_000+0.000_000+0.860_N-99,0.0,0.86,,US-191,NI-NHS,4,0,PHILLIPS,,614.9,0.0,None,None,,US-191
2023.0,N-75,A,0.246,C000075,A,C000075A,002+0.339,002+0.586,2.102,2.349,14-6A-070,nan,nan,A,4519.5,33.0,nan,1.0,273.0,161.0,8.0,nan,0.0,64.0,38.0,UPA,4089.0,10.0,104.0,119.0,119.0,183.0,183.0,nan,2.0,nan,FERGUS,JCT U-7105(1ST ST),JCT U-7105(1ST ST),2.586,6.897,C000075_002+0.339_002+0.586_N-75,2.339,2.586,TRUCK BYPASS,US-191,NI-NHS,4,2,FERGUS,2.0,1111.797,0.4,11298.75,2779.4925,,US-191
2023.0,P-45,A,1.422,C000045,A,C000045A,042+0.521,043+0.943,42.453,43.875,54-2-007,nan,nan,E,813.3333333333334,16.0,nan,0.0,110.0,81.0,20.0,nan,0.0,137.0,101.0,RMA_RMC_345,4068.0,10.0,117.0,44.0,44.0,68.0,68.0,nan,2.0,nan,WHEATLAND,nan,nan,1.379,4.828,C000045_042+0.521_043+0.943_P-45,42.521,43.943,FRONTAGE RD,US-191,Primary,3,1,WHEATLAND,1.0,1156.56,0.2,4066.6666666666665,5782.799999999999,,US-191
2023.0,P-45,A,11.185,C000045,A,C000045A,031+0.316,042+0.521,31.268,42.453,54-2-006,nan,nan,E,702.5,16.0,nan,0.0,110.0,81.0,23.0,nan,0.0,156.0,115.0,RMA_RMC_345,4068.0,10.0,117.0,44.0,44.0,68.0,68.0,nan,2.0,nan,WHEATLAND,nan,nan,1.379,4.828,C000045_031+0.316_042+0.521_P-45,31.316,42.521,FRONTAGE RD,US-191,Primary,4,8,WHEATLAND,8.0,7857.462500000001,1.6,439.0625,4910.9140625,,US-191
2023.0,P-45,A,3.042,C000045,A,C000045A,028+0.269,031+0.316,28.226,31.268,49-1-001,nan,nan,E,632.25,16.0,nan,0.0,110.0,81.0,24.0,nan,0.0,166.0,123.0,RMA_RMC_345,4068.0,10.0,117.0,44.0,44.0,68.0,68.0,nan,2.0,nan,WHEATLAND,nan,nan,1.379,4.828,C000045_028+0.269_031+0.316_P-45,28.269,31.316,FRONTAGE RD,US-191,Primary,4,8,WHEATLAND,8.0,1923.3045,1.6,395.15625,1202.0653125,,US-191
2023.0,P-45,A,12.008,C000045,A,C000045A,016+0.209,028+0.269,16.218,28.226,49-1-001,nan,nan,E,632.25,16.0,nan,0.0,110.0,81.0,24.0,nan,0.0,166.0,123.0,RMA_RMC_345,4068.0,10.0,117.0,44.0,44.0,68.0,68.0,nan,2.0,nan,SWEET GRASS,nan,nan,1.379,4.828,C000045_016+0.209_028+0.269_P-45,16.209,28.269,FRONTAGE RD,US-191,Primary,4,27,SWEET GRASS,27.0,7592.057999999999,5.4,117.08333333333333,1405.9366666666665,,US-191
2023.0,P-45,A,14.763,C000045,A,C000045A,001+0.429,016+0.209,1.455,16.218,49-3A-007,nan,nan,E,1347.25,16.0,nan,0.0,110.0,81.0,12.0,nan,0.0,82.0,60.0,RMA_RMC_345,4068.0,10.0,117.0,45.0,45.0,68.0,68.0,nan,2.0,nan,SWEET GRASS,JCT S-478,JCT S-478,1.379,4.828,C000045_001+0.429_016+0.209_P-45,1.429,16.209,FRONTAGE RD,US-191,Primary,4,32,SWEET GRASS,32.0,19889.45175,6.4,210.5078125,3107.7268359375,,US-191
2023.0,N-75,A,1.861,C000075,A,C000075A,000+0.000,002+0.098,0.0,1.861,14-6A-010,nan,nan,A,1860.2,33.0,nan,1.0,273.0,161.0,18.0,nan,1.0,150.0,88.0,UPA,4089.0,10.0,104.0,116.0,116.0,180.0,180.0,nan,2.0,nan,FERGUS,JCT N-57 (US 87),ENT N-75A/,4.469,3.911,C000075_000+0.000_002+0.098_N-75,0.0,2.098,TRUCK BYPASS,US-191,NI-NHS,5,11,FERGUS,11.0,3461.8322000000003,2.2,845.5454545454545,1573.5600909090908,,US-191
2023.0,N-99,A,22.508,C000099,A,C000099A,000+0.860,023+0.493,0.86,23.368,36-3-006,nan,nan,A,223.0,3.0,nan,1.0,9.0,4.0,14.0,nan,5.0,42.0,19.0,RPA_45,3084.0,10.0,128.0,3.0,3.0,4.0,4.0,nan,2.0,nan,PHILLIPS,nan,nan,3.448,3.448,C000099_000+0.860_023+0.493_N-99,0.86,23.493,,US-191,NI-NHS,4,12,PHILLIPS,12.0,5019.284,2.4,92.91666666666667,2091.3683333333333,,US-191
2023.0,P-45,A,1.455,C000045,A,C000045A,000+0.000,001+0.429,0.0,1.455,49-3A-012,nan,nan,E,1660.0,16.0,nan,0.0,110.0,81.0,9.0,nan,0.0,65.0,48.0,RMA_RMC_345,4068.0,10.0,117.0,45.0,45.0,69.0,69.0,nan,2.0,nan,SWEET GRASS,JCT P-91 IN BIG TIMBER,ENT P-45A/,1.379,4.828,C000045_000+0.000_001+0.429_P-45,0.0,1.429,FRONTAGE RD,US-191,Primary,4,12,SWEET GRASS,12.0,2415.3,2.4,691.6666666666667,1006.3750000000001,,US-191
2023.0,N-75,A,0.241,C000075,A,C000075A,002+0.098,002+0.339,1.861,2.102,14-6A-011,nan,nan,A,4353.25,33.0,nan,1.0,273.0,161.0,8.0,nan,0.0,66.0,39.0,UPA,4089.0,10.0,104.0,119.0,119.0,182.0,182.0,nan,2.0,nan,FERGUS,JCT U-7101(JOYLAND RD),JCT U-7101(JOYLAND RD),2.586,6.897,C000075_002+0.098_002+0.339_N-75,2.098,2.339,TRUCK BYPASS,US-191,NI-NHS,4,2,FERGUS,2.0,1049.1332499999999,0.4,10883.125,2622.8331249999997,,US-191
2023.0,N-99,A,6.207,C000099,A,C000099A,047+0.872,054+0.080,47.696,53.903,W-135,Yes,nan,A,30.0,1.0,nan,0.0,6.0,3.0,27.0,nan,0.0,162.0,81.0,RPA_45,3085.0,10.0,351.0,2.0,2.0,3.0,3.0,nan,2.0,nan,PHILLIPS,nan,nan,23.077,15.385,C000099_047+0.872_054+0.080_N-99,47.872,54.08,,US-191,NI-NHS,3,0,PHILLIPS,,186.21,0.0,None,None,,US-191
2023.0,N-75,A,0.267,C000075,A,C000075A,002+0.586,002+0.852,2.349,2.615,14-6A-012,nan,nan,A,3638.6666666666665,33.0,nan,1.0,273.0,161.0,10.0,nan,0.0,82.0,48.0,UPA,4089.0,10.0,104.0,118.0,118.0,182.0,182.0,nan,2.0,nan,FERGUS,JCT U-7109(4TH AVE),JCT U-7109(4TH AVE),2.586,6.897,C000075_002+0.586_002+0.852_N-75,2.586,2.852,TRUCK BYPASS,US-191,NI-NHS,3,2,FERGUS,2.0,971.524,0.4,9096.666666666666,2428.81,,US-191
