SEGMENT_KEY,CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,site_id_sort_key
C000016_000+0.000_000+0.061_N-16,C000016A,56-4A-009,000+0.000,000+0.061,N-16,6,0.061,22845.0,1393.545,,YELLOWSTONE,1ST AVE N,BR I-90/US-87,NI-NHS,1.2,19037.5,1161.2875,"['', 56, '-', 4, 'A-', 9, '']"
C000016_000+0.061_001+0.247_N-16,C000016A,56-4A-009,000+0.061,001+0.247,N-16,194,1.206,22845.0,27551.07,,YELLOWSTONE,1ST AVE N,BR I-90/US-87,NI-NHS,38.8,588.7886597938145,710.0791237113402,"['', 56, '-', 4, 'A-', 9, '']"
C000016_001+0.247_001+0.483_N-16,C000016A,56-4A-010,001+0.247,001+0.483,N-16,89,0.236,31072.25,7333.051,,YELLOWSTONE,1ST AVE N,BR I-90/US-87,NI-NHS,17.8,1745.63202247191,411.9691573033707,"['', 56, '-', 4, 'A-', 10, '']"
C000016_001+0.483_001+0.604_N-16,C000016A,56-4A-011,001+0.483,001+0.604,N-16,7,0.121,38146.25,4615.69625,,YELLOWSTONE,1ST AVE N,BR I-90/US-87,NI-NHS,1.4,27247.32142857143,3296.925892857143,"['', 56, '-', 4, 'A-', 11, '']"
C000016_001+0.604_001+0.963_N-16,C000016A,56-4A-012,001+0.604,001+0.963,N-16,35,0.36,32593.0,11733.48,,YELLOWSTONE,1ST AVE N,BR I-90/US-87,NI-NHS,7.0,4656.142857142857,1676.2114285714283,"['', 56, '-', 4, 'A-', 12, '']"
C000016_001+0.963_002+0.621_N-16,C000016A,56-4A-013,001+0.963,002+0.621,N-16,222,0.695,41502.0,28843.89,,YELLOWSTONE,1ST AVE N,BR I-90/US-87,NI-NHS,44.4,934.7297297297298,649.6371621621622,"['', 56, '-', 4, 'A-', 13, '']"
C000016_002+0.621_003+0.208_N-16,C000016A,A-050,002+0.621,003+0.208,N-16,42,0.571,29037.5,16580.4125,,YELLOWSTONE,1ST AVE N,BR I-90/US-87,NI-NHS,8.4,3456.845238095238,1973.8586309523807,"['A-', 50, '']"
C000016_003+0.208_003+0.642_N-16,C000016A,56-4A-015,003+0.208,003+0.642,N-16,42,0.434,25310.8,10984.8872,,YELLOWSTONE,1ST AVE N,BR I-90/US-87,NI-NHS,8.4,3013.190476190476,1307.7246666666665,"['', 56, '-', 4, 'A-', 15, '']"
C000016_003+0.642_004+0.511_N-16,C000016A,56-4A-016,003+0.642,004+0.511,N-16,48,0.961,17803.5,17109.1635,,YELLOWSTONE,1ST AVE N,BR I-90/US-87,NI-NHS,9.6,1854.53125,1782.20453125,"['', 56, '-', 4, 'A-', 16, '']"
C000016_004+0.511_004+0.635_N-16,C000016A,56-4A-017,004+0.511,004+0.635,N-16,17,0.125,14852.75,1856.59375,,YELLOWSTONE,1ST AVE N,BR I-90/US-87,NI-NHS,3.4,4368.455882352941,546.0569852941177,"['', 56, '-', 4, 'A-', 17, '']"
C000016_004+0.635_004+0.746_N-16,C000016A,56-4A-018,004+0.635,004+0.746,N-16,10,0.111,5965.5,662.1705000000001,,YELLOWSTONE,1ST AVE N,BR I-90/US-87,NI-NHS,2.0,2982.75,331.08525000000003,"['', 56, '-', 4, 'A-', 18, '']"
C000016_004+0.746_009+0.864_N-16,C000016A,56-4A-018,004+0.746,009+0.864,N-16,33,4.943,5965.5,29487.4665,,YELLOWSTONE,1ST AVE N,BR I-90/US-87,NI-NHS,6.6,903.8636363636364,4467.797954545455,"['', 56, '-', 4, 'A-', 18, '']"
C000016_009+0.864_020+0.901_N-16,C000016A,W-144,009+0.864,020+0.901,N-16,30,11.017,3067.75,33797.40175,,YELLOWSTONE,1ST AVE N,BR I-90/US-87,NI-NHS,6.0,511.2916666666667,5632.900291666666,"['W-', 144, '']"
C000016_020+0.901_025+0.167_N-16,C000016A,33-3-005,020+0.901,025+0.167,N-16,20,4.168,2514.75,10481.478,,YELLOWSTONE,1ST AVE N,BR I-90/US-87,NI-NHS,4.0,628.6875,2620.3695,"['', 33, '-', 3, '-', 5, '']"
C000016_025+0.167_034+0.375_N-16,C000016A,33-3-005,025+0.167,034+0.375,N-16,28,9.144,2514.75,22994.874,,MUSSELSHELL,1ST AVE N,BR I-90/US-87,NI-NHS,5.6,449.06250000000006,4106.2275,"['', 33, '-', 3, '-', 5, '']"
C000016_034+0.375_045+0.566_N-16,C000016A,33-3-006,034+0.375,045+0.566,N-16,42,11.201,2508.5,28097.7085,,MUSSELSHELL,1ST AVE N,BR I-90/US-87,NI-NHS,8.4,298.63095238095235,3344.965297619048,"['', 33, '-', 3, '-', 6, '']"
C000016_045+0.566_047+0.847_N-16,C000016A,33-3-007,045+0.566,047+0.847,N-16,11,2.278,2680.3333333333335,6105.799333333333,,MUSSELSHELL,1ST AVE N,BR I-90/US-87,NI-NHS,2.2,1218.3333333333333,2775.3633333333332,"['', 33, '-', 3, '-', 7, '']"
